company_name,website,sector,contact_name,email,linkedin,location,employee_count,source,ai_score,ai_reason,tag,phone,google_rating,place_id,search_town,category,enrichment_source,enrichment_status,ai_enriched,email_guessed,contact_verified,generic_email,contact_names,personal_email_guesses,contact_titles,multiple_contacts,principal_name,principal_email_guess,facebook_url,contact_email,team_email_guesses,email_type,name_review_needed,missing_email,website_verified,data_score,enrichment_attempts,confidence_score,refinement_notes,contact_source,last_enriched_date,mailshot_category,missing_name_final,data_quality
Guildford Dental Partnership,http://www.gdpguildford.co.uk/,Aesthetics/Beauty,,info@gdpguildford.co.uk,,"44 London Rd, Guildford GU1 2AF, UK",,,9,Private dental practice suitable for client-facing health services,clinic-target,01483 440563,4.9/5 (109 reviews),,,unit8,website,missing_name,,false,false,info@gdpguildford.co.uk,Photo Gallery; Kiran Sekhon,photo.gallery@gdpguildford.co.uk; p.gallery@gdpguildford.co.uk; photo@gdpguildford.co.uk; gallery@gdpguildford.co.uk; photo_gallery@gdpguildford.co.uk; photogallery@gdpguildford.co.uk; photog@gdpguildford.co.uk; pg@gdpguildford.co.uk,; Dr Pardip Atthi BDS,TRUE,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Photo Gallery; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Guildford Smiles Dental Practice,https://www.guildfordsmilesdental.co.uk/,Dental,,,,"8 Phoenix Ct, Guildford GU1 3EG, UK",,,8,Cosmetic dental practice suitable for client-facing health services,clinic-target,01483 361739,4.3/5 (67 reviews),,,unit8,not_found,incomplete,,,,info@guildfordsmilesdental.co.uk,,,,,,,,,,,,,,,,,,,,,,
Surrey Dental Practice,https://www.surreydentalpractice.co.uk/,General Wellness,,info@surreydentalpractice.co.uk,,"127 Worplesdon Rd, Guildford GU2 9XA, UK",,,8,Suitable for client-facing health practices with a need for professional space.,clinic-target,01483 506277,4.8/5 (126 reviews),,,unit8,website,missing_name,,false,,info@surreydentalpractice.co.uk,Treatments Restorative; Dr Inas Hamdy; Dr Nadia Tawfiq; Dr Faisal Sattar; Extractions Wisdom Teeth; Missing Teeth Replacement; Principle Dentist; Associate Dentist,treatments.restorative@surreydentalpractice.co.uk; t.restorative@surreydentalpractice.co.uk; treatments@surreydentalpractice.co.uk; restorative@surreydentalpractice.co.uk; treatments_restorative@surreydentalpractice.co.uk; treatmentsrestorative@surreydentalpractice.co.uk; treatmentsr@surreydentalpractice.co.uk; tr@surreydentalpractice.co.uk,; Doctor; Doctor; Doctor; ; ; ; ,TRUE,,,,,,,,,,,,,,,,,,
Jarvis Breast Screening Centre,https://www.breast-screening.surrey.nhs.uk/userhome.aspx,General Wellness,,inl.jarvisadmin@nhs.net,,"Stoughton Rd, Guildford GU1 1LH, UK",,,2,"NHS clinic, not suitable for a small professional space",clinic-target,0333 200 2062,4.6/5 (30 reviews),,,unit8,website,missing_name,,false,,info@breast-screening.surrey.nhs.uk,Appointments Screening; Patient Feedback; Walton Xcel Sports Hub,appointments.screening@breast-screening.surrey.nhs.uk; a.screening@breast-screening.surrey.nhs.uk; appointments@breast-screening.surrey.nhs.uk; screening@breast-screening.surrey.nhs.uk; appointments_screening@breast-screening.surrey.nhs.uk; appointmentsscreening@breast-screening.surrey.nhs.uk; appointmentss@breast-screening.surrey.nhs.uk; as@breast-screening.surrey.nhs.uk,; ; ,TRUE,,,,,,,,,,,,,,,,,,
FootFingers Podiatry,https://www.footfingerspodiatry.co.uk/,Everyone deserves feet that work for them and that give them the comfort to go about their day. Trust Foot Fingers to set yours right.,,,,"Send, Woking GU23 7ET, UK",,,9,Requires clinical space for podiatry services,clinic-target,07950 486308,5/5 (31 reviews),,,unit8,companies_house,incomplete,,,false,info@footfingerspodiatry.co.uk,,podiatrist.in@footfingerspodiatry.co.uk | p.in@footfingerspodiatry.co.uk | podiatrist@footfingerspodiatry.co.uk | in@footfingerspodiatry.co.uk | podiatrist_in@footfingerspodiatry.co.uk | podiatristin@footfingerspodiatry.co.uk | podiatristi@footfingerspodiatry.co.uk | pi@footfingerspodiatry.co.uk,,,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Podiatrist In; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Emma Pott Counselling and Psychotherapy,http://www.emmapott.com/,Counselling and Psychotherapy,,,,"Railton Rd, Guildford GU2 9JX, UK",,,9,Ideal for client-facing mental health services in a quiet professional space.,wellness,01483 917000,5/5 (2 reviews),,,unit8,companies_house,incomplete,,,false,info@emmapott.com,,a.from@emmapott.com | a@emmapott.com | from@emmapott.com | a_from@emmapott.com | afrom@emmapott.com | af@emmapott.com,,,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:A MESSAGE FROM; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Refresh Counselling and Psychotherapy,https://www.refresh-counselling.co.uk/,Mental Health,,louise@refresh-counselling.co.uk,,"Railton Rd, Guildford GU2 9JX, UK",,,9,Ideal for client-facing therapy sessions in a quiet space,wellness,07973 287424,5/5 (1 reviews),,,unit8,website,missing_name,,false,,info@refresh-counselling.co.uk,Refresh Counselling & Psychotherapy; Alleviating Anxiety; Addressing Trauma; Reducing Self-harm; Other Issues,louise@refresh-counselling.co.uk; refresh.psychotherapy@refresh-counselling.co.uk; r.psychotherapy@refresh-counselling.co.uk; refresh@refresh-counselling.co.uk; psychotherapy@refresh-counselling.co.uk; refresh_psychotherapy@refresh-counselling.co.uk; refreshpsychotherapy@refresh-counselling.co.uk; refreshp@refresh-counselling.co.uk; rp@refresh-counselling.co.uk,; ; ; ; ,TRUE,,,,,,,,,,,,,,,,,,
thinkWell Practice - Guildford Hypnotherapy,https://www.thinkwellpractice.com/,Hypnotherapy,,,,"Ward St, Guildford GU1 4LH, UK",,,8,Hypnotherapy is a client-facing health practice that fits well in a professional space.,wellness,07764 584000,5/5 (6 reviews),,,unit8,companies_house,incomplete,,,false,info@thinkwellpractice.com,,what.do@thinkwellpractice.com | w.do@thinkwellpractice.com | what@thinkwellpractice.com | do@thinkwellpractice.com | what_do@thinkwellpractice.com | whatdo@thinkwellpractice.com | whatd@thinkwellpractice.com | wd@thinkwellpractice.com,,,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:What We Do; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Canterbury Care Centre,http://canterburycarecentre.com/,General Wellness,,info@canterburycarecentre.com,https://www.linkedin.com/company/canterbury-care-centre,"23 Waterden Rd, Guildford GU1 2AZ, UK",100,,8,Suitable for client-facing health/wellness practices,wellness,07927 913290,5/5 (1 reviews),,,unit8,website,missing_name,,false,,info@canterburycarecentre.com,Canterbury Care; Opening Hours; Enquiry Form,canterbury.care@canterburycarecentre.com; c.care@canterburycarecentre.com; canterbury@canterburycarecentre.com; care@canterburycarecentre.com; canterbury_care@canterburycarecentre.com; canterburycare@canterburycarecentre.com; canterburyc@canterburycarecentre.com; cc@canterburycarecentre.com,; ; ,TRUE,,,,,,,,,,,,,,,,,,
Guildford Therapy Rooms,http://www.guildfordtherapyrooms.com/,Therapy Rooms,,,,"Beaufort Parklands, Guildford GU2 9JX, UK",,,9,Suitable for client-facing health and wellness practices in a professional space.,wellness,07795 023522,,,,unit8,companies_house,incomplete,,,false,info@guildfordtherapyrooms.com,,room.pricing@guildfordtherapyrooms.com | r.pricing@guildfordtherapyrooms.com | room@guildfordtherapyrooms.com | pricing@guildfordtherapyrooms.com | room_pricing@guildfordtherapyrooms.com | roompricing@guildfordtherapyrooms.com | roomp@guildfordtherapyrooms.com | rp@guildfordtherapyrooms.com,,,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:ROOM PRICING; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Skills for Life Coaching,https://www.skillsforlifecoaching.co.uk/,Wellness Coaching,,,,"Pewley Way, Guildford GU1 3PY, UK",,,6,Wellness coaching fits well but may not fully utilize clinical space.,wellness,07977 497209,5/5 (17 reviews),,,unit8,not_found,incomplete,,,,info@skillsforlifecoaching.co.uk,,,,,,,,,,,,,,,,,,,,,,
1Sculpt Fitness Guildford,http://www.1sculpt.com/,Yoga/Pilates,,,,"First Floor, Guildford GU1 4LB, UK",1,,2,Large gym chains or fitness franchises are not suitable for the space.,wellness,07951 964018,5/5 (18 reviews),,,unit8,not_found,incomplete,,,,info@1sculpt.com,Pilates Barre; Abbi Kennedy,pilates.barre@1sculpt.com; p.barre@1sculpt.com; pilates@1sculpt.com; barre@1sculpt.com; pilates_barre@1sculpt.com; pilatesbarre@1sculpt.com; pilatesb@1sculpt.com; pb@1sculpt.com,; ,TRUE,,,,,,,,,,,,,,,,,,
"HKôre Studios - Reformer Pilates, Mat Pilates & Sports Massage",http://hkore.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7374654338631923118,Yoga/Pilates,,hkorestudios@gmail.com,,"Wood Street Village, Guildford GU3 3HQ, UK",,,8,Suitable for small group classes and client-facing wellness practices,wellness,07411 948779,5/5 (88 reviews),,,unit8,website,missing_name,,false,,info@hkore.co.uk,Reformer Pilates; Pricing Plans; Black Facebook Icon; Black Instagram Icon,reformer.pilates@hkore.co.uk; r.pilates@hkore.co.uk; reformer@hkore.co.uk; pilates@hkore.co.uk; reformer_pilates@hkore.co.uk; reformerpilates@hkore.co.uk; reformerp@hkore.co.uk; rp@hkore.co.uk,; ; ; ,TRUE,,,,,,,,,,,,,,,,,,
Studio Scoop Pilates,https://www.carolinecopp.co.uk/STUDIOSCOOP-guildfordclasses,Yoga/Pilates,,,,"Railton Rd, Guildford GU2 9LX, UK",,,8,Small pilates studio suitable for client-facing wellness practices,wellness,07803 128697,5/5 (8 reviews),,,unit8,companies_house,incomplete,,,false,info@carolinecopp.co.uk,,elizabeth.park@carolinecopp.co.uk | e.park@carolinecopp.co.uk | elizabeth@carolinecopp.co.uk | park@carolinecopp.co.uk | elizabeth_park@carolinecopp.co.uk | elizabethpark@carolinecopp.co.uk | elizabethp@carolinecopp.co.uk | ep@carolinecopp.co.uk,,,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Elizabeth Park; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Asante Yoga,https://asanteyoga.com/,Yoga/Pilates,,,,"2 Gosden Hill Rd, Guildford GU4 7JE, UK",,,8,Small yoga studio suitable for client-facing wellness practices,wellness,07860 829733,5/5 (20 reviews),,,unit8,not_found,incomplete,,,,info@asanteyoga.com,Asante Yoga; Customer Reviews; Why Join,asante.yoga@asanteyoga.com; a.yoga@asanteyoga.com; asante@asanteyoga.com; yoga@asanteyoga.com; asante_yoga@asanteyoga.com; asanteyoga@asanteyoga.com; asantey@asanteyoga.com; ay@asanteyoga.com,; ; ,TRUE,,,,,,,,,,,,,,,,,,
Yoga with Alana,https://www.yogaalana.co.uk/,Yoga/Pilates,,mindfulyogawithalana@gmail.com,,"Whateley Cl, Guildford GU2 9JS, UK",,,8,Suitable for small group classes in a quiet professional space,wellness,07719 256884,5/5 (5 reviews),,,unit8,website,missing_name,,false,,info@yogaalana.co.uk,Yoga Instructor; Lotus Meditation Pose,yoga.instructor@yogaalana.co.uk; y.instructor@yogaalana.co.uk; yoga@yogaalana.co.uk; instructor@yogaalana.co.uk; yoga_instructor@yogaalana.co.uk; yogainstructor@yogaalana.co.uk; yogai@yogaalana.co.uk; yi@yogaalana.co.uk,; ,TRUE,,,,,,,,,,,,,,,,,,
Grow Yoga,http://www.growyoga.co.uk/,Yoga/Pilates,,alice@growyoga.co.uk,,"Sutton Green, Guildford GU4 7QF, UK",,,8,Suitable for client-facing wellness practices with potential for small group classes,wellness,07890 100105,5/5 (71 reviews),,,unit8,website,missing_name,,false,,info@growyoga.co.uk,Grow Yoga; Sutton Green,alice@growyoga.co.uk; grow.yoga@growyoga.co.uk; g.yoga@growyoga.co.uk; grow@growyoga.co.uk; yoga@growyoga.co.uk; grow_yoga@growyoga.co.uk; growyoga@growyoga.co.uk; growy@growyoga.co.uk; gy@growyoga.co.uk,; ,TRUE,,,,,,,,,,,,,,,,,,
"The Green Herb, Best Massage in Town",https://www.thegreenherb.co.uk/,Massage Therapy,,thegreenherb.guildford@gmail.com,,"90 Haydon Pl, Guildford GU1 4LR, UK",,,9,"Massage therapy requires a quiet, professional space for client treatments.",wellness,07444 668682,4.6/5 (25 reviews),,,unit8,website,missing_name,,false,,info@thegreenherb.co.uk,Oriental Massage,oriental.massage@thegreenherb.co.uk; o.massage@thegreenherb.co.uk; oriental@thegreenherb.co.uk; massage@thegreenherb.co.uk; oriental_massage@thegreenherb.co.uk; orientalmassage@thegreenherb.co.uk; orientalm@thegreenherb.co.uk; om@thegreenherb.co.uk,,FALSE,,,,,,,,,,,,,,,,,,
Guildford Oriental Lotus Therapy,https://www.guildfordlotustherapy.com/,Massage Therapy,,,,"Castle St, Guildford GU1 3UQ, UK",,,9,"Massage therapy requires a quiet, professional space for client sessions.",wellness,07775 382538,4.9/5 (10 reviews),,,unit8,not_found,incomplete,,,,info@guildfordlotustherapy.com,Guildford Chinese; Free Wifi; Free Shower; Useful Link,guildford.chinese@guildfordlotustherapy.com; g.chinese@guildfordlotustherapy.com; guildford@guildfordlotustherapy.com; chinese@guildfordlotustherapy.com; guildford_chinese@guildfordlotustherapy.com; guildfordchinese@guildfordlotustherapy.com; guildfordc@guildfordlotustherapy.com; gc@guildfordlotustherapy.com,; ; ; ,TRUE,,,,,,,,,,,,,,,,,,
Divine Treatments,http://www.divinetreatments.com/,Massage Therapy,,info@divine-treatments.com,,"85 Guildford Park Rd, Guildford GU2 7ND",,,9,Ideal for client-facing massage therapy in a professional space,wellness,07554 706475,5/5 (51 reviews),,,unit8,website,missing_name,,false,false,info@divine-treatments.com,Opening Times,opening.times@divinetreatments.com; o.times@divinetreatments.com; opening@divinetreatments.com; times@divinetreatments.com; opening_times@divinetreatments.com; openingtimes@divinetreatments.com; openingt@divinetreatments.com; ot@divinetreatments.com,,FALSE,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Opening Times; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Fulaylee Massage Clinic,https://www.facebook.com/FulayleeMassage/,Physiotherapy,,,,"1 Rosemary Cres, Guildford GU2 9XL, UK",,,9,Physiotherapy requires a clinical space for client treatment.,"clinic-target,facebook-only,facebook-only,facebook-only,facebook-only",07939 503520,5/5 (142 reviews),,,unit8,not_found,incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,
My Light Feet,https://mylightfeet.com/,Massage therapy,,,,"35 Quarry St, Guildford GU1 3XQ, UK",,,9,Ideal for client-facing massage therapy in a professional setting,wellness,07472 839747,4.7/5 (13 reviews),,,unit8,not_found,incomplete,,,,info@mylightfeet.com,,,,,,,,,,,,,,,,,,,,,,
Holistic Escape Hypnotherapy,https://holisticescapehypnotherapy.co.uk/,General Wellness,,,,"Beatty Ave, Guildford GU1 2PD, UK",,,9,Hypnotherapy is a client-facing health practice that fits well in a professional space.,wellness,07713 121068,5/5 (8 reviews),,,unit8,not_found,incomplete,,,,info@holisticescapehypnotherapy.co.uk,,,,,,,,,,,,,,,,,,,,,,
Spirit Health Club,https://www.lghhm.com/leisure/holiday-inn-guildford/,Aesthetics/Beauty,,reservations@higuildford.co.uk,,"Egerton Rd, Guildford GU2 7XZ, UK",,,1,Large gym chain not suitable for small clinical space,wellness,01483 453134,4.1/5 (34 reviews),,,unit8,website,missing_name,,false,,info@lghhm.com,Holiday Inn Guildford; Holiday Inn Brent Cross; Holiday Inn Oxford; Holiday Inn Basildon; Holiday Inn Cambridge; Holiday Inn Edinburgh; Holiday Inn Bristol Filton,holiday.guildford@lghhm.com; h.guildford@lghhm.com; holiday@lghhm.com; guildford@lghhm.com; holiday_guildford@lghhm.com; holidayguildford@lghhm.com; holidayg@lghhm.com; hg@lghhm.com,; Meeting capacity: 60 Number of bedrooms: 154 Onsite parking: 155; ; ; ; ; ,TRUE,,,,,,,,,,,,,,,,,,
Good Vibes Hypnotherapy Marcin Smelczysz,https://goodvibeshypnotherapy.co.uk/,Hypnotherapy,,,,"Railton Rd, Guildford GU2 9JX, UK",,,8,Hypnotherapy is a client-facing health practice suitable for a professional space.,wellness,07891 080103,5/5 (36 reviews),,,unit8,not_found,incomplete,,,,info@goodvibeshypnotherapy.co.uk,,,,,,,,,,,,,,,,,,,,,,
Rapid Empowerment,https://www.rapidempowerment.co.uk/,Mental Health,,,https://www.linkedin.com/in/hayet-shahrezaey-711367149/,"11 Market St, Guildford GU1 4LB, UK",,,6,"Business is health and wellness-focused, but may not require clinical space.",wellness,,4.8/5 (19 reviews),,,unit8,website,incomplete,,false,,info@rapidempowerment.co.uk,Rapid Empowerment; Hayet Logo.png; Hayet Shahrezaey,rapid.empowerment@rapidempowerment.co.uk; r.empowerment@rapidempowerment.co.uk; rapid@rapidempowerment.co.uk; empowerment@rapidempowerment.co.uk; rapid_empowerment@rapidempowerment.co.uk; rapidempowerment@rapidempowerment.co.uk; rapide@rapidempowerment.co.uk; re@rapidempowerment.co.uk,; ; ,TRUE,,,,,,,,,,,,,,,,,,
Joanna Abel Nutrition,https://www.joannaabelnutrition.com/,Nutrition,,,,"Elmside, Guildford GU2 7SH, UK",,,6,"Currently home-based, looking to upgrade to a professional space.",wellness,07912 877788,5/5 (7 reviews),,,unit8,companies_house,incomplete,,,false,info@joannaabelnutrition.com,Joanna Abel Nutrition,joanna.nutrition@joannaabelnutrition.com; j.nutrition@joannaabelnutrition.com; joannan@joannaabelnutrition.com; jn@joannaabelnutrition.com; nutrition@joannaabelnutrition.com; joanna@joannaabelnutrition.com; joanna_nutrition@joannaabelnutrition.com; joannanutrition@joannaabelnutrition.com,,FALSE,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Joanna Abel Nutrition; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
In Tune Nutrition,https://www.intunenutrition.co.uk/contact/,Nutrition,,gemma@intunenutrition.co.uk,,"54 Quarry St, Guildford GU1 3UA, UK",,,6,Currently home-based looking to upgrade,wellness,07899 891256,,,,unit8,website,missing_name,,false,,info@intunenutrition.co.uk,Tune Nutrition; Maya Angelou,gemma@intunenutrition.co.uk; tune.nutrition@intunenutrition.co.uk; t.nutrition@intunenutrition.co.uk; tune@intunenutrition.co.uk; nutrition@intunenutrition.co.uk; tune_nutrition@intunenutrition.co.uk; tunenutrition@intunenutrition.co.uk; tunen@intunenutrition.co.uk; tn@intunenutrition.co.uk,; ,TRUE,,,,,,,,,,,,,,,,,,
Physio In Motion,http://www.physioinmotion.co.uk/,Physiotherapy,,,,"1 Union Rd, Farnham GU9 7PT, UK",,,9,"Physiotherapy requires a clinical space, making it highly suitable for Unit 8.",clinic-target,07889 890718,5/5 (22 reviews),,,unit8,companies_house,incomplete,,,false,info@physioinmotion.co.uk,,physio.motion@physioinmotion.co.uk | p.motion@physioinmotion.co.uk | physio@physioinmotion.co.uk | motion@physioinmotion.co.uk | physio_motion@physioinmotion.co.uk | physiomotion@physioinmotion.co.uk | physiom@physioinmotion.co.uk | pm@physioinmotion.co.uk,,,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Physio In Motion; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Bearwood Physiotherapy - Farnham - GU9,http://bearwoodphysiotherapy.co.uk/,Physiotherapy,,,,"1 Lion and Lamb Way, Farnham GU9 7PY, UK",,,9,"Physiotherapy requires a clinical space, making it highly suitable for Unit 8.",clinic-target,07986 726346,5/5 (1 reviews),,,unit8,not_found,incomplete,,,,info@bearwoodphysiotherapy.co.uk,,,,,,,,,,,,,,,,,,,,,,
Charlotte Hunt Osteopaths,https://www.charlottehuntosteopaths.co.uk/,Osteopathy,,,,"Lower Bourne, Farnham GU10 3LH, UK",,,9,Requires clinical space for osteopathy practice,clinic-target,07957 563472,5/5 (25 reviews),,,unit8,companies_house,incomplete,,,false,info@charlottehuntosteopaths.co.uk,,google.reviews@charlottehuntosteopaths.co.uk | g.reviews@charlottehuntosteopaths.co.uk | google@charlottehuntosteopaths.co.uk | reviews@charlottehuntosteopaths.co.uk | google_reviews@charlottehuntosteopaths.co.uk | googlereviews@charlottehuntosteopaths.co.uk | googler@charlottehuntosteopaths.co.uk | gr@charlottehuntosteopaths.co.uk,,,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Google Reviews; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
Oak Park Clinic - Osteopathy & Wellbeing Clinic,https://www.oakparkclinic.co.uk/,General Wellness,,info@oakparkclinic.co.uk,,"Crondall, Farnham GU10 5QQ, UK",,,7,Yoga studio fits well but may need more space for group classes.,wellness,01252 850800,5/5 (104 reviews),,,unit8,website,missing_name,,false,,info@oakparkclinic.co.uk,Sports Massage; Nicola Bayer; Bernie Hughes; Kate Bennet; Laura Butchart; Mia Francis; Fiona Carle; Will Lane,sports.massage@oakparkclinic.co.uk; s.massage@oakparkclinic.co.uk; sports@oakparkclinic.co.uk; massage@oakparkclinic.co.uk; sports_massage@oakparkclinic.co.uk; sportsmassage@oakparkclinic.co.uk; sportsm@oakparkclinic.co.uk; sm@oakparkclinic.co.uk,"; Osteopath; Massage Therapist, Reflexologist; Massage Therapist, Scar Tissue Therapist; Massage Therapist; Osteopath; Physiotherapist, Pilates Instructor; Yoga Instructor",TRUE,,,,,,,,,,,,,,,,,,
Durham House Chiropractic Clinic Fleet,http://www.durhamhousechiropractic-fleet.co.uk/,Chiropractic,,fleet@durhamhousechiropractic.co.uk,,"60 Reading Rd S, Fleet GU52 7SD, UK",,,9,"Chiropractic requires a clinical space for treatments, making it highly suitable for Unit 8.",clinic-target,01252 622050,4.9/5 (160 reviews),,,unit8,website,missing_name,,false,,info@durhamhousechiropractic-fleet.co.uk,Durham House; Opening Hours,durham.house@durhamhousechiropractic-fleet.co.uk; d.house@durhamhousechiropractic-fleet.co.uk; durham@durhamhousechiropractic-fleet.co.uk; house@durhamhousechiropractic-fleet.co.uk; durham_house@durhamhousechiropractic-fleet.co.uk; durhamhouse@durhamhousechiropractic-fleet.co.uk; durhamh@durhamhousechiropractic-fleet.co.uk; dh@durhamhousechiropractic-fleet.co.uk,; ,TRUE,,,,,,,,,,,,,,,,,,
Minor Operations - Farnham,https://privategpclinic.co.uk/online-bookings/minor-operations-online-booking/,Private GPs or small health clinics,,,,"72 Castle St, Farnham GU9 7LP, UK",,,8,Suitable for client-facing health practices with a focus on minor operations.,clinic-target,01932 344004,5/5 (1 reviews),,,unit8,not_found,incomplete,,,,info@privategpclinic.co.uk,,,,,,,,,,,,,,,,,,,,,,
Farnham Park Health Group,https://www.farnhamgps.com/,Health Clinic,,,,"Hale Rd, Farnham GU9 9QS, UK",,,9,Health clinic requiring clinical space for patient consultations,clinic-target,01252 723122,2.3/5 (89 reviews),,,unit8,not_found,incomplete,,,,info@farnhamgps.com,,,,,,,,,,,,,,,,,,,,,,
Travel Vaccination Clinic - Farnham,https://privategpclinic.co.uk/private-gp-clinic-farnham/,General Wellness,,,,"72 Castle St, Farnham GU9 7LP, UK",,,8,Suitable for client-facing health practices and offers clinical services.,clinic-target,01932 344004,5/5 (1 reviews),,,unit8,companies_house,incomplete,,,false,info@privategpclinic.co.uk,Victoria Road,victoria.road@privategpclinic.co.uk; v.road@privategpclinic.co.uk; victoriar@privategpclinic.co.uk; vr@privategpclinic.co.uk; road@privategpclinic.co.uk; victoria@privategpclinic.co.uk; victoria_road@privategpclinic.co.uk; victoriaroad@privategpclinic.co.uk,,FALSE,,,,,,generic,,,,,,2,cleanup_scrape_error:'CleanupEnricher' object has no attribute 'nav_keywords'; cleanup_fake_removed:Victoria Road; no_named_individual_found; cleanup_openai_skipped:insufficient_website_text,,2026-02-10,priority,,
"mydentist, Castle Street, Farnham",https://www.mydentist.co.uk/dentists/practices/castle-street-farnham?pid=20084&utm_source=google&utm_medium=local&utm_content=20084&utm_campaign=my-business,General Wellness,,,https://uk.linkedin.com/company/mydentistuk,"76 Castle St, Farnham GU9 7LP, UK",,,8,Suitable for a private dental practice with client-facing services.,clinic-target,01252 716466,4.3/5 (69 reviews),,,unit8,not_found,incomplete,,,,info@mydentist.co.uk,Castle Street; Northern Ireland; Healthcare Inspectorate Wales; Edyta Misalska; Susan Van Der Bijl; Lakshmi Pujitha Jasti,castle.street@mydentist.co.uk; c.street@mydentist.co.uk; castle@mydentist.co.uk; street@mydentist.co.uk; castle_street@mydentist.co.uk; castlestreet@mydentist.co.uk; castles@mydentist.co.uk; cs@mydentist.co.uk,; ; ; ; ; ,TRUE,,,,,,,,,,,,,,,,,,
"mydentist, East Street, Farnham",https://www.mydentist.co.uk/dentists/practices/east-street-farnham?pid=20175&utm_source=google&utm_medium=local&utm_content=20175&utm_campaign=my-business,General Wellness,,,https://uk.linkedin.com/company/mydentistuk,"28 East St, Farnham GU9 7SW, UK",,,4,Large dental practice likely requires more space than Unit 8 offers.,clinic-target,01252 716005,4.2/5 (71 reviews),,,unit8,not_found,incomplete,,,,info@mydentist.co.uk,East Street; Northern Ireland; Healthcare Inspectorate Wales; Mustafa Mehlis; Akilesh Sreecumaar; Anagha Mudholkar; Chhavi Sharma; Homi Arab,east.street@mydentist.co.uk; e.street@mydentist.co.uk; east@mydentist.co.uk; street@mydentist.co.uk; east_street@mydentist.co.uk; eaststreet@mydentist.co.uk; easts@mydentist.co.uk; es@mydentist.co.uk,; ; ; ; ; ; ; ,TRUE,,,,,,,,,,,,,,,,,,
Toe'riffic Toes Podiatry,https://www.toeriffictoespodiatry.com/,General Wellness,,toe.riffictoes@hotmail.com,,"Grayshott, Hindhead GU26 6HF, UK",,,9,Podiatry requires a clinical space for client consultations and treatments.,clinic-target,07731 474329,5/5 (55 reviews),,,unit8,website,missing_name,,false,,info@toeriffictoespodiatry.com,Toe'riffic Toes,toeriffic.toes@toeriffictoespodiatry.com; t.toes@toeriffictoespodiatry.com; toeriffic@toeriffictoespodiatry.com; toes@toeriffictoespodiatry.com; toeriffic_toes@toeriffictoespodiatry.com; toeriffictoes@toeriffictoespodiatry.com; toeriffict@toeriffictoespodiatry.com; tt@toeriffictoespodiatry.com,,FALSE,,,,,,,,,,,,,,,,,,
